@relation 'dataset_tajo_m2-weka.filters.unsupervised.attribute.MathExpression-Elog(A + 1) / log(10)-R22'

@attribute LOC numeric
@attribute NSMELLS numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute NR numeric
@attribute NFIX numeric
@attribute FIX_RATE numeric
@attribute NAUTH numeric
@attribute AVG_CHANGE_SET numeric
@attribute MAX_CHANGE_SET numeric
@attribute AVG_ND numeric
@attribute AGE_LAST_CHANGE numeric
@attribute MIN_EXP numeric
@attribute NUM_METHODS numeric
@attribute DIT numeric
@attribute RFC numeric
@attribute FAN_IN numeric
@attribute FAN_OUT numeric
@attribute CC numeric
@attribute BUGGY {no,yes}

@data
2.155336,0.30103,2.517196,1.623249,2.669317,1.261501,1.447158,0.778151,0.075547,0.778151,2.190332,2.951823,1.55582,1.462398,1.255273,1.447158,0.30103,1.447158,0.90309,1.278754,1.732394,yes
2.418301,0,2.550228,2.447158,2.603144,1.830396,0.845098,0,0,0.477121,2.149742,2.786751,1.509606,1.690196,1.50515,1.414973,0.477121,1.255273,0.60206,1.079181,1.944483,yes
2.40824,0.477121,2.525045,2.434569,2.559907,1.787673,0.845098,0,0,0.477121,2.149742,2.786751,1.509606,1.690196,1.50515,1.380211,0.477121,1.255273,0.69897,1.041393,1.924279,yes
1.982271,0.30103,2.155336,2.143015,2.184691,1.713238,0.60206,0,0,0.30103,2.405978,2.786751,1.745621,2.017033,2.103804,1.146128,0.477121,0.954243,0.60206,0.90309,1.342423,yes
2.409933,0.30103,2.523746,2.431364,2.558709,1.786538,0.845098,0,0,0.477121,2.149742,2.786751,1.509606,1.690196,1.50515,1.380211,0.477121,1.342423,0.60206,1.176091,1.924279,yes
2.409933,0.30103,2.523746,2.439333,2.561101,1.788875,0.845098,0,0,0.477121,2.149742,2.786751,1.509606,1.690196,1.50515,1.39794,0.477121,1.30103,0.69897,1.113943,1.929419,yes
2.419956,0,2.539076,2.448706,2.580925,1.742647,0.90309,0,0,0.477121,2.124309,2.786751,1.499275,1.672098,1.50515,1.414973,0.477121,1.255273,0.778151,1.079181,1.944483,yes
1.851258,0.30103,2.269513,1.924279,2.421604,1.150756,1.322219,0.69897,0.079181,0.69897,2.276117,2.951823,1.632963,1.690196,1.041393,1.230449,0.477121,0,0.60206,0.60206,1.230449,yes
1.591065,0,1.908485,1.908485,1.908485,1.908485,0.30103,0,0,0.30103,1.929419,1.929419,1.431364,1.672098,2.103804,0.90309,0.477121,0.778151,0.30103,0.954243,0.90309,no
1.869232,0.60206,2.227887,2.227887,2.227887,2.227887,0.30103,0,0,0.30103,1.929419,1.929419,1.431364,1.672098,2.103804,1.146128,0.69897,0.90309,0.477121,0.845098,1.255273,no
3.015779,1.255273,3.165541,3.165541,3.165541,3.165541,0.30103,0,0,0.30103,1.929419,1.929419,1.431364,1.672098,2.103804,1.431364,1,2.053078,0.477121,1.322219,2.369216,no
2.469822,1.113943,2.662758,2.662758,2.662758,2.662758,0.30103,0,0,0.30103,1.929419,1.929419,1.431364,1.672098,2.103804,1.342423,0.30103,1.60206,0.60206,0.60206,2.041393,no
1.724276,0,1.913814,1.913814,1.913814,1.913814,0.30103,0,0,0.30103,1.929419,1.929419,1.431364,1.672098,2.103804,1.041393,0.477121,0.90309,0.30103,0.69897,1.146128,no
1.799341,0.778151,1.963788,1.963788,1.963788,1.963788,0.30103,0,0,0.30103,1.929419,1.929419,1.431364,1.672098,2.103804,0.90309,0.30103,1.255273,0.477121,0.954243,1.113943,no
2.049218,0.60206,2.25042,2.167317,2.303196,1.612784,0.778151,0,0,0.477121,2.215902,2.786751,1.565848,1.690196,1.50515,1.30103,0.477121,1.20412,0.60206,0.954243,1.518514,yes
1.770852,0.30103,1.991226,1.991226,2.033424,1.736397,0.477121,0,0,0.30103,2.130334,2.143015,1.618048,1.812913,2.103804,1.041393,0.30103,1.176091,0.30103,0.60206,1.176091,no
